,0,1,2
95,1e-05,0.8,1.4
96,1e-05,0.8,1.6
97,1e-05,0.8,1.8
98,1e-05,0.8,2.0
99,1e-05,0.9,1e-05
100,1e-05,0.9,0.2
101,1e-05,0.9,0.4
102,1e-05,0.9,0.6
103,1e-05,0.9,0.8
104,1e-05,0.9,1.0
105,1e-05,0.9,1.2
106,1e-05,0.9,1.4
107,1e-05,0.9,1.6
108,1e-05,0.9,1.8
109,1e-05,0.9,2.0
110,1e-05,1.0,1e-05
111,1e-05,1.0,0.2
112,1e-05,1.0,0.4
113,1e-05,1.0,0.6
114,1e-05,1.0,0.8
115,1e-05,1.0,1.0
116,1e-05,1.0,1.2
117,1e-05,1.0,1.4
118,1e-05,1.0,1.6
119,1e-05,1.0,1.8
120,1e-05,1.0,2.0
121,0.15,1e-05,1e-05
122,0.15,1e-05,0.2
123,0.15,1e-05,0.4
124,0.15,1e-05,0.6
125,0.15,1e-05,0.8
126,0.15,1e-05,1.0
127,0.15,1e-05,1.2
128,0.15,1e-05,1.4
129,0.15,1e-05,1.6
130,0.15,1e-05,1.8
131,0.15,1e-05,2.0
132,0.15,0.1,1e-05
133,0.15,0.1,0.2
134,0.15,0.1,0.4
135,0.15,0.1,0.6
136,0.15,0.1,0.8
137,0.15,0.1,1.0
138,0.15,0.1,1.2
139,0.15,0.1,1.4
140,0.15,0.1,1.6
141,0.15,0.1,1.8
142,0.15,0.1,2.0
143,0.15,0.2,1e-05
144,0.15,0.2,0.2
145,0.15,0.2,0.4
146,0.15,0.2,0.6
147,0.15,0.2,0.8
148,0.15,0.2,1.0
149,0.15,0.2,1.2
150,0.15,0.2,1.4
151,0.15,0.2,1.6
152,0.15,0.2,1.8
153,0.15,0.2,2.0
154,0.15,0.3,1e-05
155,0.15,0.3,0.2
156,0.15,0.3,0.4
157,0.15,0.3,0.6
158,0.15,0.3,0.8
159,0.15,0.3,1.0
160,0.15,0.3,1.2
161,0.15,0.3,1.4
162,0.15,0.3,1.6
163,0.15,0.3,1.8
164,0.15,0.3,2.0
165,0.15,0.4,1e-05
166,0.15,0.4,0.2
167,0.15,0.4,0.4
168,0.15,0.4,0.6
169,0.15,0.4,0.8
170,0.15,0.4,1.0
171,0.15,0.4,1.2
172,0.15,0.4,1.4
173,0.15,0.4,1.6
174,0.15,0.4,1.8
175,0.15,0.4,2.0
176,0.15,0.5,1e-05
177,0.15,0.5,0.2
178,0.15,0.5,0.4
179,0.15,0.5,0.6
180,0.15,0.5,0.8
181,0.15,0.5,1.0
182,0.15,0.5,1.2
183,0.15,0.5,1.4
184,0.15,0.5,1.6
185,0.15,0.5,1.8
186,0.15,0.5,2.0
187,0.15,0.6,1e-05
188,0.15,0.6,0.2
189,0.15,0.6,0.4
190,0.15,0.6,0.6
191,0.15,0.6,0.8
192,0.15,0.6,1.0
193,0.15,0.6,1.2
194,0.15,0.6,1.4
195,0.15,0.6,1.6
196,0.15,0.6,1.8
197,0.15,0.6,2.0
198,0.15,0.7,1e-05
