,0,1,2
659,-0.175,0.05,0
660,-0.175,0.05,0.025
661,-0.175,0.05,0.05
662,-0.175,0.05,0.075
663,-0.175,0.05,0.1
664,-0.175,0.05,0.125
665,-0.175,0.05,0.15
666,-0.175,0.05,0.175
667,-0.175,0.05,0.2
668,-0.175,0.05,0.225
669,-0.175,0.05,0.25
670,-0.175,0.05,0.275
671,-0.175,0.05,0.3
672,-0.175,0.075,-0.2
673,-0.175,0.075,-0.175
674,-0.175,0.075,-0.15
675,-0.175,0.075,-0.125
676,-0.175,0.075,-0.1
677,-0.175,0.075,-0.075
678,-0.175,0.075,-0.05
679,-0.175,0.075,-0.025
680,-0.175,0.075,0
681,-0.175,0.075,0.025
682,-0.175,0.075,0.05
683,-0.175,0.075,0.075
684,-0.175,0.075,0.1
685,-0.175,0.075,0.125
686,-0.175,0.075,0.15
687,-0.175,0.075,0.175
688,-0.175,0.075,0.2
689,-0.175,0.075,0.225
690,-0.175,0.075,0.25
691,-0.175,0.075,0.275
692,-0.175,0.075,0.3
693,-0.175,0.1,-0.2
694,-0.175,0.1,-0.175
695,-0.175,0.1,-0.15
696,-0.175,0.1,-0.125
697,-0.175,0.1,-0.1
698,-0.175,0.1,-0.075
699,-0.175,0.1,-0.05
700,-0.175,0.1,-0.025
701,-0.175,0.1,0
702,-0.175,0.1,0.025
703,-0.175,0.1,0.05
704,-0.175,0.1,0.075
705,-0.175,0.1,0.1
706,-0.175,0.1,0.125
707,-0.175,0.1,0.15
708,-0.175,0.1,0.175
709,-0.175,0.1,0.2
710,-0.175,0.1,0.225
711,-0.175,0.1,0.25
712,-0.175,0.1,0.275
713,-0.175,0.1,0.3
714,-0.175,0.125,-0.2
715,-0.175,0.125,-0.175
716,-0.175,0.125,-0.15
717,-0.175,0.125,-0.125
718,-0.175,0.125,-0.1
719,-0.175,0.125,-0.075
720,-0.175,0.125,-0.05
721,-0.175,0.125,-0.025
722,-0.175,0.125,0
723,-0.175,0.125,0.025
724,-0.175,0.125,0.05
725,-0.175,0.125,0.075
726,-0.175,0.125,0.1
727,-0.175,0.125,0.125
728,-0.175,0.125,0.15
729,-0.175,0.125,0.175
730,-0.175,0.125,0.2
731,-0.175,0.125,0.225
732,-0.175,0.125,0.25
733,-0.175,0.125,0.275
734,-0.175,0.125,0.3
735,-0.175,0.15,-0.2
736,-0.175,0.15,-0.175
737,-0.175,0.15,-0.15
738,-0.175,0.15,-0.125
739,-0.175,0.15,-0.1
740,-0.175,0.15,-0.075
741,-0.175,0.15,-0.05
742,-0.175,0.15,-0.025
743,-0.175,0.15,0
744,-0.175,0.15,0.025
745,-0.175,0.15,0.05
746,-0.175,0.15,0.075
747,-0.175,0.15,0.1
748,-0.175,0.15,0.125
749,-0.175,0.15,0.15
750,-0.175,0.15,0.175
751,-0.175,0.15,0.2
752,-0.175,0.15,0.225
753,-0.175,0.15,0.25
754,-0.175,0.15,0.275
755,-0.175,0.15,0.3
756,-0.175,0.175,-0.2
757,-0.175,0.175,-0.175
758,-0.175,0.175,-0.15
759,-0.175,0.175,-0.125
760,-0.175,0.175,-0.1
761,-0.175,0.175,-0.075
762,-0.175,0.175,-0.05
763,-0.175,0.175,-0.025
764,-0.175,0.175,0
765,-0.175,0.175,0.025
766,-0.175,0.175,0.05
767,-0.175,0.175,0.075
768,-0.175,0.175,0.1
769,-0.175,0.175,0.125
770,-0.175,0.175,0.15
771,-0.175,0.175,0.175
772,-0.175,0.175,0.2
773,-0.175,0.175,0.225
774,-0.175,0.175,0.25
775,-0.175,0.175,0.275
776,-0.175,0.175,0.3
777,-0.175,0.2,-0.2
778,-0.175,0.2,-0.175
779,-0.175,0.2,-0.15
780,-0.175,0.2,-0.125
781,-0.175,0.2,-0.1
782,-0.175,0.2,-0.075
783,-0.175,0.2,-0.05
784,-0.175,0.2,-0.025
785,-0.175,0.2,0
786,-0.175,0.2,0.025
787,-0.175,0.2,0.05
788,-0.175,0.2,0.075
789,-0.175,0.2,0.1
790,-0.175,0.2,0.125
791,-0.175,0.2,0.15
792,-0.175,0.2,0.175
793,-0.175,0.2,0.2
794,-0.175,0.2,0.225
795,-0.175,0.2,0.25
796,-0.175,0.2,0.275
